nodeID_from,nodeID_to,country_name,country_ISO3
1,1,Burkina Faso,BFA
1,10,Burkina Faso,BFA
1,11,Burkina Faso,BFA
1,12,Burkina Faso,BFA
1,13,Burkina Faso,BFA
1,2,Burkina Faso,BFA
1,3,Burkina Faso,BFA
1,4,Burkina Faso,BFA
1,5,Burkina Faso,BFA
1,6,Burkina Faso,BFA
1,7,Burkina Faso,BFA
1,8,Burkina Faso,BFA
1,9,Burkina Faso,BFA
10,1,Burkina Faso,BFA
10,10,Burkina Faso,BFA
10,11,Burkina Faso,BFA
10,12,Burkina Faso,BFA
10,13,Burkina Faso,BFA
10,2,Burkina Faso,BFA
10,3,Burkina Faso,BFA
10,4,Burkina Faso,BFA
10,5,Burkina Faso,BFA
10,6,Burkina Faso,BFA
10,7,Burkina Faso,BFA
10,8,Burkina Faso,BFA
10,9,Burkina Faso,BFA
11,1,Burkina Faso,BFA
11,10,Burkina Faso,BFA
11,11,Burkina Faso,BFA
11,12,Burkina Faso,BFA
11,13,Burkina Faso,BFA
11,2,Burkina Faso,BFA
11,3,Burkina Faso,BFA
11,4,Burkina Faso,BFA
11,5,Burkina Faso,BFA
11,6,Burkina Faso,BFA
11,7,Burkina Faso,BFA
11,8,Burkina Faso,BFA
11,9,Burkina Faso,BFA
12,1,Burkina Faso,BFA
12,10,Burkina Faso,BFA
12,11,Burkina Faso,BFA
12,12,Burkina Faso,BFA
12,13,Burkina Faso,BFA
12,2,Burkina Faso,BFA
12,3,Burkina Faso,BFA
12,4,Burkina Faso,BFA
12,5,Burkina Faso,BFA
12,6,Burkina Faso,BFA
12,7,Burkina Faso,BFA
12,8,Burkina Faso,BFA
12,9,Burkina Faso,BFA
13,1,Burkina Faso,BFA
13,10,Burkina Faso,BFA
13,11,Burkina Faso,BFA
13,12,Burkina Faso,BFA
13,13,Burkina Faso,BFA
13,2,Burkina Faso,BFA
13,3,Burkina Faso,BFA
13,4,Burkina Faso,BFA
13,5,Burkina Faso,BFA
13,6,Burkina Faso,BFA
13,7,Burkina Faso,BFA
13,8,Burkina Faso,BFA
13,9,Burkina Faso,BFA
2,1,Burkina Faso,BFA
2,10,Burkina Faso,BFA
2,11,Burkina Faso,BFA
2,12,Burkina Faso,BFA
2,13,Burkina Faso,BFA
2,2,Burkina Faso,BFA
2,3,Burkina Faso,BFA
2,4,Burkina Faso,BFA
2,5,Burkina Faso,BFA
2,6,Burkina Faso,BFA
2,7,Burkina Faso,BFA
2,8,Burkina Faso,BFA
2,9,Burkina Faso,BFA
3,1,Burkina Faso,BFA
3,10,Burkina Faso,BFA
3,11,Burkina Faso,BFA
3,12,Burkina Faso,BFA
3,13,Burkina Faso,BFA
3,2,Burkina Faso,BFA
3,3,Burkina Faso,BFA
3,4,Burkina Faso,BFA
3,5,Burkina Faso,BFA
3,6,Burkina Faso,BFA
3,7,Burkina Faso,BFA
3,8,Burkina Faso,BFA
3,9,Burkina Faso,BFA
4,1,Burkina Faso,BFA
4,10,Burkina Faso,BFA
4,11,Burkina Faso,BFA
4,12,Burkina Faso,BFA
4,13,Burkina Faso,BFA
4,2,Burkina Faso,BFA
4,3,Burkina Faso,BFA
4,4,Burkina Faso,BFA
4,5,Burkina Faso,BFA
4,6,Burkina Faso,BFA
4,7,Burkina Faso,BFA
4,8,Burkina Faso,BFA
4,9,Burkina Faso,BFA
5,1,Burkina Faso,BFA
5,10,Burkina Faso,BFA
5,11,Burkina Faso,BFA
5,12,Burkina Faso,BFA
5,13,Burkina Faso,BFA
5,2,Burkina Faso,BFA
5,3,Burkina Faso,BFA
5,4,Burkina Faso,BFA
5,5,Burkina Faso,BFA
5,6,Burkina Faso,BFA
5,7,Burkina Faso,BFA
5,8,Burkina Faso,BFA
5,9,Burkina Faso,BFA
6,1,Burkina Faso,BFA
6,10,Burkina Faso,BFA
6,11,Burkina Faso,BFA
6,12,Burkina Faso,BFA
6,13,Burkina Faso,BFA
6,2,Burkina Faso,BFA
6,3,Burkina Faso,BFA
6,4,Burkina Faso,BFA
6,5,Burkina Faso,BFA
6,6,Burkina Faso,BFA
6,7,Burkina Faso,BFA
6,8,Burkina Faso,BFA
6,9,Burkina Faso,BFA
7,1,Burkina Faso,BFA
7,10,Burkina Faso,BFA
7,11,Burkina Faso,BFA
7,12,Burkina Faso,BFA
7,13,Burkina Faso,BFA
7,2,Burkina Faso,BFA
7,3,Burkina Faso,BFA
7,4,Burkina Faso,BFA
7,5,Burkina Faso,BFA
7,6,Burkina Faso,BFA
7,7,Burkina Faso,BFA
7,8,Burkina Faso,BFA
7,9,Burkina Faso,BFA
8,1,Burkina Faso,BFA
8,10,Burkina Faso,BFA
8,11,Burkina Faso,BFA
8,12,Burkina Faso,BFA
8,13,Burkina Faso,BFA
8,2,Burkina Faso,BFA
8,3,Burkina Faso,BFA
8,4,Burkina Faso,BFA
8,5,Burkina Faso,BFA
8,6,Burkina Faso,BFA
8,7,Burkina Faso,BFA
8,8,Burkina Faso,BFA
8,9,Burkina Faso,BFA
9,1,Burkina Faso,BFA
9,10,Burkina Faso,BFA
9,11,Burkina Faso,BFA
9,12,Burkina Faso,BFA
9,13,Burkina Faso,BFA
9,2,Burkina Faso,BFA
9,3,Burkina Faso,BFA
9,4,Burkina Faso,BFA
9,5,Burkina Faso,BFA
9,6,Burkina Faso,BFA
9,7,Burkina Faso,BFA
9,8,Burkina Faso,BFA
9,9,Burkina Faso,BFA
