nodeID_from,nodeID_to,country_name,country_ISO3
1,1,Kyrgyzstan,KGZ
1,2,Kyrgyzstan,KGZ
1,3,Kyrgyzstan,KGZ
1,4,Kyrgyzstan,KGZ
1,5,Kyrgyzstan,KGZ
1,6,Kyrgyzstan,KGZ
1,7,Kyrgyzstan,KGZ
1,8,Kyrgyzstan,KGZ
1,9,Kyrgyzstan,KGZ
2,1,Kyrgyzstan,KGZ
2,2,Kyrgyzstan,KGZ
2,3,Kyrgyzstan,KGZ
2,4,Kyrgyzstan,KGZ
2,5,Kyrgyzstan,KGZ
2,6,Kyrgyzstan,KGZ
2,7,Kyrgyzstan,KGZ
2,8,Kyrgyzstan,KGZ
2,9,Kyrgyzstan,KGZ
3,1,Kyrgyzstan,KGZ
3,2,Kyrgyzstan,KGZ
3,3,Kyrgyzstan,KGZ
3,4,Kyrgyzstan,KGZ
3,5,Kyrgyzstan,KGZ
3,6,Kyrgyzstan,KGZ
3,7,Kyrgyzstan,KGZ
3,8,Kyrgyzstan,KGZ
3,9,Kyrgyzstan,KGZ
4,1,Kyrgyzstan,KGZ
4,2,Kyrgyzstan,KGZ
4,3,Kyrgyzstan,KGZ
4,4,Kyrgyzstan,KGZ
4,5,Kyrgyzstan,KGZ
4,6,Kyrgyzstan,KGZ
4,7,Kyrgyzstan,KGZ
4,8,Kyrgyzstan,KGZ
4,9,Kyrgyzstan,KGZ
5,1,Kyrgyzstan,KGZ
5,2,Kyrgyzstan,KGZ
5,3,Kyrgyzstan,KGZ
5,4,Kyrgyzstan,KGZ
5,5,Kyrgyzstan,KGZ
5,6,Kyrgyzstan,KGZ
5,7,Kyrgyzstan,KGZ
5,8,Kyrgyzstan,KGZ
5,9,Kyrgyzstan,KGZ
6,1,Kyrgyzstan,KGZ
6,2,Kyrgyzstan,KGZ
6,3,Kyrgyzstan,KGZ
6,4,Kyrgyzstan,KGZ
6,5,Kyrgyzstan,KGZ
6,6,Kyrgyzstan,KGZ
6,7,Kyrgyzstan,KGZ
6,8,Kyrgyzstan,KGZ
6,9,Kyrgyzstan,KGZ
7,1,Kyrgyzstan,KGZ
7,2,Kyrgyzstan,KGZ
7,3,Kyrgyzstan,KGZ
7,4,Kyrgyzstan,KGZ
7,5,Kyrgyzstan,KGZ
7,6,Kyrgyzstan,KGZ
7,7,Kyrgyzstan,KGZ
7,8,Kyrgyzstan,KGZ
7,9,Kyrgyzstan,KGZ
8,1,Kyrgyzstan,KGZ
8,2,Kyrgyzstan,KGZ
8,3,Kyrgyzstan,KGZ
8,4,Kyrgyzstan,KGZ
8,5,Kyrgyzstan,KGZ
8,6,Kyrgyzstan,KGZ
8,7,Kyrgyzstan,KGZ
8,8,Kyrgyzstan,KGZ
8,9,Kyrgyzstan,KGZ
9,1,Kyrgyzstan,KGZ
9,2,Kyrgyzstan,KGZ
9,3,Kyrgyzstan,KGZ
9,4,Kyrgyzstan,KGZ
9,5,Kyrgyzstan,KGZ
9,6,Kyrgyzstan,KGZ
9,7,Kyrgyzstan,KGZ
9,8,Kyrgyzstan,KGZ
9,9,Kyrgyzstan,KGZ
