nodeID_from,nodeID_to,country_name,country_ISO3
1,1,Mali,MLI
1,2,Mali,MLI
1,3,Mali,MLI
1,4,Mali,MLI
1,5,Mali,MLI
1,6,Mali,MLI
1,7,Mali,MLI
1,8,Mali,MLI
1,9,Mali,MLI
2,1,Mali,MLI
2,2,Mali,MLI
2,3,Mali,MLI
2,4,Mali,MLI
2,5,Mali,MLI
2,6,Mali,MLI
2,7,Mali,MLI
2,8,Mali,MLI
2,9,Mali,MLI
3,1,Mali,MLI
3,2,Mali,MLI
3,3,Mali,MLI
3,4,Mali,MLI
3,5,Mali,MLI
3,6,Mali,MLI
3,7,Mali,MLI
3,8,Mali,MLI
3,9,Mali,MLI
4,1,Mali,MLI
4,2,Mali,MLI
4,3,Mali,MLI
4,4,Mali,MLI
4,5,Mali,MLI
4,6,Mali,MLI
4,7,Mali,MLI
4,8,Mali,MLI
4,9,Mali,MLI
5,1,Mali,MLI
5,2,Mali,MLI
5,3,Mali,MLI
5,4,Mali,MLI
5,5,Mali,MLI
5,6,Mali,MLI
5,7,Mali,MLI
5,8,Mali,MLI
5,9,Mali,MLI
6,1,Mali,MLI
6,2,Mali,MLI
6,3,Mali,MLI
6,4,Mali,MLI
6,5,Mali,MLI
6,6,Mali,MLI
6,7,Mali,MLI
6,8,Mali,MLI
6,9,Mali,MLI
7,1,Mali,MLI
7,2,Mali,MLI
7,3,Mali,MLI
7,4,Mali,MLI
7,5,Mali,MLI
7,6,Mali,MLI
7,7,Mali,MLI
7,8,Mali,MLI
7,9,Mali,MLI
8,1,Mali,MLI
8,2,Mali,MLI
8,3,Mali,MLI
8,4,Mali,MLI
8,5,Mali,MLI
8,6,Mali,MLI
8,7,Mali,MLI
8,8,Mali,MLI
8,9,Mali,MLI
9,1,Mali,MLI
9,2,Mali,MLI
9,3,Mali,MLI
9,4,Mali,MLI
9,5,Mali,MLI
9,6,Mali,MLI
9,7,Mali,MLI
9,8,Mali,MLI
9,9,Mali,MLI
