nodeID_from,nodeID_to,country_name,country_ISO3
1,1,Botswana,BWA
1,10,Botswana,BWA
1,11,Botswana,BWA
1,12,Botswana,BWA
1,13,Botswana,BWA
1,14,Botswana,BWA
1,15,Botswana,BWA
1,2,Botswana,BWA
1,3,Botswana,BWA
1,4,Botswana,BWA
1,5,Botswana,BWA
1,6,Botswana,BWA
1,7,Botswana,BWA
1,8,Botswana,BWA
1,9,Botswana,BWA
10,1,Botswana,BWA
10,10,Botswana,BWA
10,11,Botswana,BWA
10,12,Botswana,BWA
10,13,Botswana,BWA
10,14,Botswana,BWA
10,15,Botswana,BWA
10,2,Botswana,BWA
10,3,Botswana,BWA
10,4,Botswana,BWA
10,5,Botswana,BWA
10,6,Botswana,BWA
10,7,Botswana,BWA
10,8,Botswana,BWA
10,9,Botswana,BWA
11,1,Botswana,BWA
11,10,Botswana,BWA
11,11,Botswana,BWA
11,12,Botswana,BWA
11,13,Botswana,BWA
11,14,Botswana,BWA
11,15,Botswana,BWA
11,2,Botswana,BWA
11,3,Botswana,BWA
11,4,Botswana,BWA
11,5,Botswana,BWA
11,6,Botswana,BWA
11,7,Botswana,BWA
11,8,Botswana,BWA
11,9,Botswana,BWA
12,1,Botswana,BWA
12,10,Botswana,BWA
12,11,Botswana,BWA
12,12,Botswana,BWA
12,13,Botswana,BWA
12,14,Botswana,BWA
12,15,Botswana,BWA
12,2,Botswana,BWA
12,3,Botswana,BWA
12,4,Botswana,BWA
12,5,Botswana,BWA
12,6,Botswana,BWA
12,7,Botswana,BWA
12,8,Botswana,BWA
12,9,Botswana,BWA
13,1,Botswana,BWA
13,10,Botswana,BWA
13,11,Botswana,BWA
13,12,Botswana,BWA
13,13,Botswana,BWA
13,14,Botswana,BWA
13,15,Botswana,BWA
13,2,Botswana,BWA
13,3,Botswana,BWA
13,4,Botswana,BWA
13,5,Botswana,BWA
13,6,Botswana,BWA
13,7,Botswana,BWA
13,8,Botswana,BWA
13,9,Botswana,BWA
14,1,Botswana,BWA
14,10,Botswana,BWA
14,11,Botswana,BWA
14,12,Botswana,BWA
14,13,Botswana,BWA
14,14,Botswana,BWA
14,15,Botswana,BWA
14,2,Botswana,BWA
14,3,Botswana,BWA
14,4,Botswana,BWA
14,5,Botswana,BWA
14,6,Botswana,BWA
14,7,Botswana,BWA
14,8,Botswana,BWA
14,9,Botswana,BWA
15,1,Botswana,BWA
15,10,Botswana,BWA
15,11,Botswana,BWA
15,12,Botswana,BWA
15,13,Botswana,BWA
15,14,Botswana,BWA
15,15,Botswana,BWA
15,2,Botswana,BWA
15,3,Botswana,BWA
15,4,Botswana,BWA
15,5,Botswana,BWA
15,6,Botswana,BWA
15,7,Botswana,BWA
15,8,Botswana,BWA
15,9,Botswana,BWA
2,1,Botswana,BWA
2,10,Botswana,BWA
2,11,Botswana,BWA
2,12,Botswana,BWA
2,13,Botswana,BWA
2,14,Botswana,BWA
2,15,Botswana,BWA
2,2,Botswana,BWA
2,3,Botswana,BWA
2,4,Botswana,BWA
2,5,Botswana,BWA
2,6,Botswana,BWA
2,7,Botswana,BWA
2,8,Botswana,BWA
2,9,Botswana,BWA
3,1,Botswana,BWA
3,10,Botswana,BWA
3,11,Botswana,BWA
3,12,Botswana,BWA
3,13,Botswana,BWA
3,14,Botswana,BWA
3,15,Botswana,BWA
3,2,Botswana,BWA
3,3,Botswana,BWA
3,4,Botswana,BWA
3,5,Botswana,BWA
3,6,Botswana,BWA
3,7,Botswana,BWA
3,8,Botswana,BWA
3,9,Botswana,BWA
4,1,Botswana,BWA
4,10,Botswana,BWA
4,11,Botswana,BWA
4,12,Botswana,BWA
4,13,Botswana,BWA
4,14,Botswana,BWA
4,15,Botswana,BWA
4,2,Botswana,BWA
4,3,Botswana,BWA
4,4,Botswana,BWA
4,5,Botswana,BWA
4,6,Botswana,BWA
4,7,Botswana,BWA
4,8,Botswana,BWA
4,9,Botswana,BWA
5,1,Botswana,BWA
5,10,Botswana,BWA
5,11,Botswana,BWA
5,12,Botswana,BWA
5,13,Botswana,BWA
5,14,Botswana,BWA
5,15,Botswana,BWA
5,2,Botswana,BWA
5,3,Botswana,BWA
5,4,Botswana,BWA
5,5,Botswana,BWA
5,6,Botswana,BWA
5,7,Botswana,BWA
5,8,Botswana,BWA
5,9,Botswana,BWA
6,1,Botswana,BWA
6,10,Botswana,BWA
6,11,Botswana,BWA
6,12,Botswana,BWA
6,13,Botswana,BWA
6,14,Botswana,BWA
6,15,Botswana,BWA
6,2,Botswana,BWA
6,3,Botswana,BWA
6,4,Botswana,BWA
6,5,Botswana,BWA
6,6,Botswana,BWA
6,7,Botswana,BWA
6,8,Botswana,BWA
6,9,Botswana,BWA
7,1,Botswana,BWA
7,10,Botswana,BWA
7,11,Botswana,BWA
7,12,Botswana,BWA
7,13,Botswana,BWA
7,14,Botswana,BWA
7,15,Botswana,BWA
7,2,Botswana,BWA
7,3,Botswana,BWA
7,4,Botswana,BWA
7,5,Botswana,BWA
7,6,Botswana,BWA
7,7,Botswana,BWA
7,8,Botswana,BWA
7,9,Botswana,BWA
8,1,Botswana,BWA
8,10,Botswana,BWA
8,11,Botswana,BWA
8,12,Botswana,BWA
8,13,Botswana,BWA
8,14,Botswana,BWA
8,15,Botswana,BWA
8,2,Botswana,BWA
8,3,Botswana,BWA
8,4,Botswana,BWA
8,5,Botswana,BWA
8,6,Botswana,BWA
8,7,Botswana,BWA
8,8,Botswana,BWA
8,9,Botswana,BWA
9,1,Botswana,BWA
9,10,Botswana,BWA
9,11,Botswana,BWA
9,12,Botswana,BWA
9,13,Botswana,BWA
9,14,Botswana,BWA
9,15,Botswana,BWA
9,2,Botswana,BWA
9,3,Botswana,BWA
9,4,Botswana,BWA
9,5,Botswana,BWA
9,6,Botswana,BWA
9,7,Botswana,BWA
9,8,Botswana,BWA
9,9,Botswana,BWA
