nodeID_from,nodeID_to,country_name,country_ISO3
1,1,Equatorial Guinea,GNQ
1,2,Equatorial Guinea,GNQ
1,3,Equatorial Guinea,GNQ
1,4,Equatorial Guinea,GNQ
1,5,Equatorial Guinea,GNQ
1,6,Equatorial Guinea,GNQ
2,1,Equatorial Guinea,GNQ
2,2,Equatorial Guinea,GNQ
2,3,Equatorial Guinea,GNQ
2,4,Equatorial Guinea,GNQ
2,5,Equatorial Guinea,GNQ
2,6,Equatorial Guinea,GNQ
3,1,Equatorial Guinea,GNQ
3,2,Equatorial Guinea,GNQ
3,3,Equatorial Guinea,GNQ
3,4,Equatorial Guinea,GNQ
3,5,Equatorial Guinea,GNQ
3,6,Equatorial Guinea,GNQ
4,1,Equatorial Guinea,GNQ
4,2,Equatorial Guinea,GNQ
4,3,Equatorial Guinea,GNQ
4,4,Equatorial Guinea,GNQ
4,5,Equatorial Guinea,GNQ
4,6,Equatorial Guinea,GNQ
5,1,Equatorial Guinea,GNQ
5,2,Equatorial Guinea,GNQ
5,3,Equatorial Guinea,GNQ
5,4,Equatorial Guinea,GNQ
5,5,Equatorial Guinea,GNQ
5,6,Equatorial Guinea,GNQ
6,1,Equatorial Guinea,GNQ
6,2,Equatorial Guinea,GNQ
6,3,Equatorial Guinea,GNQ
6,4,Equatorial Guinea,GNQ
6,5,Equatorial Guinea,GNQ
6,6,Equatorial Guinea,GNQ
