nodeID_from,nodeID_to,country_name,country_ISO3
1,1,Guinea-Bissau,GNB
1,2,Guinea-Bissau,GNB
1,3,Guinea-Bissau,GNB
1,4,Guinea-Bissau,GNB
1,5,Guinea-Bissau,GNB
1,6,Guinea-Bissau,GNB
1,7,Guinea-Bissau,GNB
1,8,Guinea-Bissau,GNB
1,9,Guinea-Bissau,GNB
2,1,Guinea-Bissau,GNB
2,2,Guinea-Bissau,GNB
2,3,Guinea-Bissau,GNB
2,4,Guinea-Bissau,GNB
2,5,Guinea-Bissau,GNB
2,6,Guinea-Bissau,GNB
2,7,Guinea-Bissau,GNB
2,8,Guinea-Bissau,GNB
2,9,Guinea-Bissau,GNB
3,1,Guinea-Bissau,GNB
3,2,Guinea-Bissau,GNB
3,3,Guinea-Bissau,GNB
3,4,Guinea-Bissau,GNB
3,5,Guinea-Bissau,GNB
3,6,Guinea-Bissau,GNB
3,7,Guinea-Bissau,GNB
3,8,Guinea-Bissau,GNB
3,9,Guinea-Bissau,GNB
4,1,Guinea-Bissau,GNB
4,2,Guinea-Bissau,GNB
4,3,Guinea-Bissau,GNB
4,4,Guinea-Bissau,GNB
4,5,Guinea-Bissau,GNB
4,6,Guinea-Bissau,GNB
4,7,Guinea-Bissau,GNB
4,8,Guinea-Bissau,GNB
4,9,Guinea-Bissau,GNB
5,1,Guinea-Bissau,GNB
5,2,Guinea-Bissau,GNB
5,3,Guinea-Bissau,GNB
5,4,Guinea-Bissau,GNB
5,5,Guinea-Bissau,GNB
5,6,Guinea-Bissau,GNB
5,7,Guinea-Bissau,GNB
5,8,Guinea-Bissau,GNB
5,9,Guinea-Bissau,GNB
6,1,Guinea-Bissau,GNB
6,2,Guinea-Bissau,GNB
6,3,Guinea-Bissau,GNB
6,4,Guinea-Bissau,GNB
6,5,Guinea-Bissau,GNB
6,6,Guinea-Bissau,GNB
6,7,Guinea-Bissau,GNB
6,8,Guinea-Bissau,GNB
6,9,Guinea-Bissau,GNB
7,1,Guinea-Bissau,GNB
7,2,Guinea-Bissau,GNB
7,3,Guinea-Bissau,GNB
7,4,Guinea-Bissau,GNB
7,5,Guinea-Bissau,GNB
7,6,Guinea-Bissau,GNB
7,7,Guinea-Bissau,GNB
7,8,Guinea-Bissau,GNB
7,9,Guinea-Bissau,GNB
8,1,Guinea-Bissau,GNB
8,2,Guinea-Bissau,GNB
8,3,Guinea-Bissau,GNB
8,4,Guinea-Bissau,GNB
8,5,Guinea-Bissau,GNB
8,6,Guinea-Bissau,GNB
8,7,Guinea-Bissau,GNB
8,8,Guinea-Bissau,GNB
8,9,Guinea-Bissau,GNB
9,1,Guinea-Bissau,GNB
9,2,Guinea-Bissau,GNB
9,3,Guinea-Bissau,GNB
9,4,Guinea-Bissau,GNB
9,5,Guinea-Bissau,GNB
9,6,Guinea-Bissau,GNB
9,7,Guinea-Bissau,GNB
9,8,Guinea-Bissau,GNB
9,9,Guinea-Bissau,GNB
