nodeID_from,nodeID_to,country_name,country_ISO3
1,1,Haiti,HTI
1,10,Haiti,HTI
1,2,Haiti,HTI
1,3,Haiti,HTI
1,4,Haiti,HTI
1,5,Haiti,HTI
1,6,Haiti,HTI
1,7,Haiti,HTI
1,8,Haiti,HTI
1,9,Haiti,HTI
10,1,Haiti,HTI
10,10,Haiti,HTI
10,2,Haiti,HTI
10,3,Haiti,HTI
10,4,Haiti,HTI
10,5,Haiti,HTI
10,6,Haiti,HTI
10,7,Haiti,HTI
10,8,Haiti,HTI
10,9,Haiti,HTI
2,1,Haiti,HTI
2,10,Haiti,HTI
2,2,Haiti,HTI
2,3,Haiti,HTI
2,4,Haiti,HTI
2,5,Haiti,HTI
2,6,Haiti,HTI
2,7,Haiti,HTI
2,8,Haiti,HTI
2,9,Haiti,HTI
3,1,Haiti,HTI
3,10,Haiti,HTI
3,2,Haiti,HTI
3,3,Haiti,HTI
3,4,Haiti,HTI
3,5,Haiti,HTI
3,6,Haiti,HTI
3,7,Haiti,HTI
3,8,Haiti,HTI
3,9,Haiti,HTI
4,1,Haiti,HTI
4,10,Haiti,HTI
4,2,Haiti,HTI
4,3,Haiti,HTI
4,4,Haiti,HTI
4,5,Haiti,HTI
4,6,Haiti,HTI
4,7,Haiti,HTI
4,8,Haiti,HTI
4,9,Haiti,HTI
5,1,Haiti,HTI
5,10,Haiti,HTI
5,2,Haiti,HTI
5,3,Haiti,HTI
5,4,Haiti,HTI
5,5,Haiti,HTI
5,6,Haiti,HTI
5,7,Haiti,HTI
5,8,Haiti,HTI
5,9,Haiti,HTI
6,1,Haiti,HTI
6,10,Haiti,HTI
6,2,Haiti,HTI
6,3,Haiti,HTI
6,4,Haiti,HTI
6,5,Haiti,HTI
6,6,Haiti,HTI
6,7,Haiti,HTI
6,8,Haiti,HTI
6,9,Haiti,HTI
7,1,Haiti,HTI
7,10,Haiti,HTI
7,2,Haiti,HTI
7,3,Haiti,HTI
7,4,Haiti,HTI
7,5,Haiti,HTI
7,6,Haiti,HTI
7,7,Haiti,HTI
7,8,Haiti,HTI
7,9,Haiti,HTI
8,1,Haiti,HTI
8,10,Haiti,HTI
8,2,Haiti,HTI
8,3,Haiti,HTI
8,4,Haiti,HTI
8,5,Haiti,HTI
8,6,Haiti,HTI
8,7,Haiti,HTI
8,8,Haiti,HTI
8,9,Haiti,HTI
9,1,Haiti,HTI
9,10,Haiti,HTI
9,2,Haiti,HTI
9,3,Haiti,HTI
9,4,Haiti,HTI
9,5,Haiti,HTI
9,6,Haiti,HTI
9,7,Haiti,HTI
9,8,Haiti,HTI
9,9,Haiti,HTI
