nodeID_from,nodeID_to,country_name,country_ISO3
1,1,Laos,LAO
1,10,Laos,LAO
1,11,Laos,LAO
1,12,Laos,LAO
1,13,Laos,LAO
1,14,Laos,LAO
1,15,Laos,LAO
1,16,Laos,LAO
1,17,Laos,LAO
1,18,Laos,LAO
1,2,Laos,LAO
1,3,Laos,LAO
1,4,Laos,LAO
1,5,Laos,LAO
1,6,Laos,LAO
1,7,Laos,LAO
1,8,Laos,LAO
1,9,Laos,LAO
10,1,Laos,LAO
10,10,Laos,LAO
10,11,Laos,LAO
10,12,Laos,LAO
10,13,Laos,LAO
10,14,Laos,LAO
10,15,Laos,LAO
10,16,Laos,LAO
10,17,Laos,LAO
10,18,Laos,LAO
10,2,Laos,LAO
10,3,Laos,LAO
10,4,Laos,LAO
10,5,Laos,LAO
10,6,Laos,LAO
10,7,Laos,LAO
10,8,Laos,LAO
10,9,Laos,LAO
11,1,Laos,LAO
11,10,Laos,LAO
11,11,Laos,LAO
11,12,Laos,LAO
11,13,Laos,LAO
11,14,Laos,LAO
11,15,Laos,LAO
11,16,Laos,LAO
11,17,Laos,LAO
11,18,Laos,LAO
11,2,Laos,LAO
11,3,Laos,LAO
11,4,Laos,LAO
11,5,Laos,LAO
11,6,Laos,LAO
11,7,Laos,LAO
11,8,Laos,LAO
11,9,Laos,LAO
12,1,Laos,LAO
12,10,Laos,LAO
12,11,Laos,LAO
12,12,Laos,LAO
12,13,Laos,LAO
12,14,Laos,LAO
12,15,Laos,LAO
12,16,Laos,LAO
12,17,Laos,LAO
12,18,Laos,LAO
12,2,Laos,LAO
12,3,Laos,LAO
12,4,Laos,LAO
12,5,Laos,LAO
12,6,Laos,LAO
12,7,Laos,LAO
12,8,Laos,LAO
12,9,Laos,LAO
13,1,Laos,LAO
13,10,Laos,LAO
13,11,Laos,LAO
13,12,Laos,LAO
13,13,Laos,LAO
13,14,Laos,LAO
13,15,Laos,LAO
13,16,Laos,LAO
13,17,Laos,LAO
13,18,Laos,LAO
13,2,Laos,LAO
13,3,Laos,LAO
13,4,Laos,LAO
13,5,Laos,LAO
13,6,Laos,LAO
13,7,Laos,LAO
13,8,Laos,LAO
13,9,Laos,LAO
14,1,Laos,LAO
14,10,Laos,LAO
14,11,Laos,LAO
14,12,Laos,LAO
14,13,Laos,LAO
14,14,Laos,LAO
14,15,Laos,LAO
14,16,Laos,LAO
14,17,Laos,LAO
14,18,Laos,LAO
14,2,Laos,LAO
14,3,Laos,LAO
14,4,Laos,LAO
14,5,Laos,LAO
14,6,Laos,LAO
14,7,Laos,LAO
14,8,Laos,LAO
14,9,Laos,LAO
15,1,Laos,LAO
15,10,Laos,LAO
15,11,Laos,LAO
15,12,Laos,LAO
15,13,Laos,LAO
15,14,Laos,LAO
15,15,Laos,LAO
15,16,Laos,LAO
15,17,Laos,LAO
15,18,Laos,LAO
15,2,Laos,LAO
15,3,Laos,LAO
15,4,Laos,LAO
15,5,Laos,LAO
15,6,Laos,LAO
15,7,Laos,LAO
15,8,Laos,LAO
15,9,Laos,LAO
16,1,Laos,LAO
16,10,Laos,LAO
16,11,Laos,LAO
16,12,Laos,LAO
16,13,Laos,LAO
16,14,Laos,LAO
16,15,Laos,LAO
16,16,Laos,LAO
16,17,Laos,LAO
16,18,Laos,LAO
16,2,Laos,LAO
16,3,Laos,LAO
16,4,Laos,LAO
16,5,Laos,LAO
16,6,Laos,LAO
16,7,Laos,LAO
16,8,Laos,LAO
16,9,Laos,LAO
17,1,Laos,LAO
17,10,Laos,LAO
17,11,Laos,LAO
17,12,Laos,LAO
17,13,Laos,LAO
17,14,Laos,LAO
17,15,Laos,LAO
17,16,Laos,LAO
17,17,Laos,LAO
17,18,Laos,LAO
17,2,Laos,LAO
17,3,Laos,LAO
17,4,Laos,LAO
17,5,Laos,LAO
17,6,Laos,LAO
17,7,Laos,LAO
17,8,Laos,LAO
17,9,Laos,LAO
18,1,Laos,LAO
18,10,Laos,LAO
18,11,Laos,LAO
18,12,Laos,LAO
18,13,Laos,LAO
18,14,Laos,LAO
18,15,Laos,LAO
18,16,Laos,LAO
18,17,Laos,LAO
18,18,Laos,LAO
18,2,Laos,LAO
18,3,Laos,LAO
18,4,Laos,LAO
18,5,Laos,LAO
18,6,Laos,LAO
18,7,Laos,LAO
18,8,Laos,LAO
18,9,Laos,LAO
2,1,Laos,LAO
2,10,Laos,LAO
2,11,Laos,LAO
2,12,Laos,LAO
2,13,Laos,LAO
2,14,Laos,LAO
2,15,Laos,LAO
2,16,Laos,LAO
2,17,Laos,LAO
2,18,Laos,LAO
2,2,Laos,LAO
2,3,Laos,LAO
2,4,Laos,LAO
2,5,Laos,LAO
2,6,Laos,LAO
2,7,Laos,LAO
2,8,Laos,LAO
2,9,Laos,LAO
3,1,Laos,LAO
3,10,Laos,LAO
3,11,Laos,LAO
3,12,Laos,LAO
3,13,Laos,LAO
3,14,Laos,LAO
3,15,Laos,LAO
3,16,Laos,LAO
3,17,Laos,LAO
3,18,Laos,LAO
3,2,Laos,LAO
3,3,Laos,LAO
3,4,Laos,LAO
3,5,Laos,LAO
3,6,Laos,LAO
3,7,Laos,LAO
3,8,Laos,LAO
3,9,Laos,LAO
4,1,Laos,LAO
4,10,Laos,LAO
4,11,Laos,LAO
4,12,Laos,LAO
4,13,Laos,LAO
4,14,Laos,LAO
4,15,Laos,LAO
4,16,Laos,LAO
4,17,Laos,LAO
4,18,Laos,LAO
4,2,Laos,LAO
4,3,Laos,LAO
4,4,Laos,LAO
