nodeID_from,nodeID_to,country_name,country_ISO3
1,1,Niger,NER
1,2,Niger,NER
1,3,Niger,NER
1,4,Niger,NER
1,5,Niger,NER
1,6,Niger,NER
1,7,Niger,NER
1,8,Niger,NER
2,1,Niger,NER
2,2,Niger,NER
2,3,Niger,NER
2,4,Niger,NER
2,5,Niger,NER
2,6,Niger,NER
2,7,Niger,NER
2,8,Niger,NER
3,1,Niger,NER
3,2,Niger,NER
3,3,Niger,NER
3,4,Niger,NER
3,5,Niger,NER
3,6,Niger,NER
3,7,Niger,NER
3,8,Niger,NER
4,1,Niger,NER
4,2,Niger,NER
4,3,Niger,NER
4,4,Niger,NER
4,5,Niger,NER
4,6,Niger,NER
4,7,Niger,NER
4,8,Niger,NER
5,1,Niger,NER
5,2,Niger,NER
5,3,Niger,NER
5,4,Niger,NER
5,5,Niger,NER
5,6,Niger,NER
5,7,Niger,NER
5,8,Niger,NER
6,1,Niger,NER
6,2,Niger,NER
6,3,Niger,NER
6,4,Niger,NER
6,5,Niger,NER
6,6,Niger,NER
6,7,Niger,NER
6,8,Niger,NER
7,1,Niger,NER
7,2,Niger,NER
7,3,Niger,NER
7,4,Niger,NER
7,5,Niger,NER
7,6,Niger,NER
7,7,Niger,NER
7,8,Niger,NER
8,1,Niger,NER
8,2,Niger,NER
8,3,Niger,NER
8,4,Niger,NER
8,5,Niger,NER
8,6,Niger,NER
8,7,Niger,NER
8,8,Niger,NER
