nodeID_from,nodeID_to,country_name,country_ISO3,SCI
1,1,Guinea-Bissau,GNB,31526069
1,2,Guinea-Bissau,GNB,2571945
1,3,Guinea-Bissau,GNB,2381560
1,4,Guinea-Bissau,GNB,1906741
1,5,Guinea-Bissau,GNB,876337
1,6,Guinea-Bissau,GNB,2395191
1,7,Guinea-Bissau,GNB,2042674
1,8,Guinea-Bissau,GNB,2443422
1,9,Guinea-Bissau,GNB,2448622
2,1,Guinea-Bissau,GNB,2571945
2,2,Guinea-Bissau,GNB,11887259
2,3,Guinea-Bissau,GNB,4586209
2,4,Guinea-Bissau,GNB,6481052
2,5,Guinea-Bissau,GNB,3709905
2,6,Guinea-Bissau,GNB,2428505
2,7,Guinea-Bissau,GNB,3388103
2,8,Guinea-Bissau,GNB,3897746
2,9,Guinea-Bissau,GNB,4009522
3,1,Guinea-Bissau,GNB,2381560
3,2,Guinea-Bissau,GNB,4586209
3,3,Guinea-Bissau,GNB,3299974
3,4,Guinea-Bissau,GNB,5346447
3,5,Guinea-Bissau,GNB,2933447
3,6,Guinea-Bissau,GNB,2676321
3,7,Guinea-Bissau,GNB,3317502
3,8,Guinea-Bissau,GNB,3905708
3,9,Guinea-Bissau,GNB,3787842
4,1,Guinea-Bissau,GNB,1906741
4,2,Guinea-Bissau,GNB,6481052
4,3,Guinea-Bissau,GNB,5346447
4,4,Guinea-Bissau,GNB,202828309
4,5,Guinea-Bissau,GNB,2272795
4,6,Guinea-Bissau,GNB,1551014
4,7,Guinea-Bissau,GNB,3030736
4,8,Guinea-Bissau,GNB,10160125
4,9,Guinea-Bissau,GNB,5230785
5,1,Guinea-Bissau,GNB,876337
5,2,Guinea-Bissau,GNB,3709905
5,3,Guinea-Bissau,GNB,2933447
5,4,Guinea-Bissau,GNB,2272795
5,5,Guinea-Bissau,GNB,30542869
5,6,Guinea-Bissau,GNB,1031139
5,7,Guinea-Bissau,GNB,2077192
5,8,Guinea-Bissau,GNB,1655536
5,9,Guinea-Bissau,GNB,1402664
6,1,Guinea-Bissau,GNB,2395191
6,2,Guinea-Bissau,GNB,2428505
6,3,Guinea-Bissau,GNB,2676321
6,4,Guinea-Bissau,GNB,1551014
6,5,Guinea-Bissau,GNB,1031139
6,6,Guinea-Bissau,GNB,30702938
6,7,Guinea-Bissau,GNB,1633160
6,8,Guinea-Bissau,GNB,1939168
6,9,Guinea-Bissau,GNB,2261952
7,1,Guinea-Bissau,GNB,2042674
7,2,Guinea-Bissau,GNB,3388103
7,3,Guinea-Bissau,GNB,3317502
7,4,Guinea-Bissau,GNB,3030736
7,5,Guinea-Bissau,GNB,2077192
7,6,Guinea-Bissau,GNB,1633160
7,7,Guinea-Bissau,GNB,42223316
7,8,Guinea-Bissau,GNB,3057357
7,9,Guinea-Bissau,GNB,3401736
8,1,Guinea-Bissau,GNB,2443422
8,2,Guinea-Bissau,GNB,3897746
8,3,Guinea-Bissau,GNB,3905708
8,4,Guinea-Bissau,GNB,10160125
8,5,Guinea-Bissau,GNB,1655536
8,6,Guinea-Bissau,GNB,1939168
8,7,Guinea-Bissau,GNB,3057357
8,8,Guinea-Bissau,GNB,118845991
8,9,Guinea-Bissau,GNB,13768897
9,1,Guinea-Bissau,GNB,2448622
9,2,Guinea-Bissau,GNB,4009522
9,3,Guinea-Bissau,GNB,3787842
9,4,Guinea-Bissau,GNB,5230785
9,5,Guinea-Bissau,GNB,1402664
9,6,Guinea-Bissau,GNB,2261952
9,7,Guinea-Bissau,GNB,3401736
9,8,Guinea-Bissau,GNB,13768897
9,9,Guinea-Bissau,GNB,78455582
