nodeID_from,nodeID_to,country_name,country_ISO3,SCI
1,1,Niger,NER,8966365
1,2,Niger,NER,597638
1,3,Niger,NER,687743
1,4,Niger,NER,834159
1,5,Niger,NER,737306
1,6,Niger,NER,891169
1,7,Niger,NER,861829
1,8,Niger,NER,896687
2,1,Niger,NER,597638
2,2,Niger,NER,27493399
2,3,Niger,NER,596473
2,4,Niger,NER,741581
2,5,Niger,NER,704502
2,6,Niger,NER,583329
2,7,Niger,NER,842928
2,8,Niger,NER,1299956
3,1,Niger,NER,687743
3,2,Niger,NER,596473
3,3,Niger,NER,13621763
3,4,Niger,NER,735535
3,5,Niger,NER,993782
3,6,Niger,NER,968379
3,7,Niger,NER,1275555
3,8,Niger,NER,660636
4,1,Niger,NER,834159
4,2,Niger,NER,741581
4,3,Niger,NER,735535
4,4,Niger,NER,6751041
4,5,Niger,NER,739007
4,6,Niger,NER,1018268
4,7,Niger,NER,867590
4,8,Niger,NER,974611
5,1,Niger,NER,737306
5,2,Niger,NER,704502
5,3,Niger,NER,993782
5,4,Niger,NER,739007
5,5,Niger,NER,1120910
5,6,Niger,NER,873520
5,7,Niger,NER,1500099
5,8,Niger,NER,699435
6,1,Niger,NER,891169
6,2,Niger,NER,583329
6,3,Niger,NER,968379
6,4,Niger,NER,1018268
6,5,Niger,NER,873520
6,6,Niger,NER,8695417
6,7,Niger,NER,995117
6,8,Niger,NER,765154
7,1,Niger,NER,861829
7,2,Niger,NER,842928
7,3,Niger,NER,1275555
7,4,Niger,NER,867590
7,5,Niger,NER,1500099
7,6,Niger,NER,995117
7,7,Niger,NER,7343890
7,8,Niger,NER,812592
8,1,Niger,NER,896687
8,2,Niger,NER,1299956
8,3,Niger,NER,660636
8,4,Niger,NER,974611
8,5,Niger,NER,699435
8,6,Niger,NER,765154
8,7,Niger,NER,812592
8,8,Niger,NER,7407688
