nodeID_from,nodeID_to,country_name,country_ISO3,SCI
1,1,Togo,TGO,9032564
1,2,Togo,TGO,1411481
1,3,Togo,TGO,503857
1,4,Togo,TGO,512572
1,5,Togo,TGO,486490
2,1,Togo,TGO,1411481
2,2,Togo,TGO,7925818
2,3,Togo,TGO,668853
2,4,Togo,TGO,772746
2,5,Togo,TGO,1373015
3,1,Togo,TGO,503857
3,2,Togo,TGO,668853
3,3,Togo,TGO,749019
3,4,Togo,TGO,782691
3,5,Togo,TGO,518038
4,1,Togo,TGO,512572
4,2,Togo,TGO,772746
4,3,Togo,TGO,782691
4,4,Togo,TGO,5572404
4,5,Togo,TGO,407145
5,1,Togo,TGO,486490
5,2,Togo,TGO,1373015
5,3,Togo,TGO,518038
5,4,Togo,TGO,407145
5,5,Togo,TGO,12055111
