nodeID_from,nodeID_to,country_name,country_ISO3,SCI
8,8,Australia,AUS,155150
8,9,Australia,AUS,9214
8,1,Australia,AUS,18167
8,2,Australia,AUS,21016
8,3,Australia,AUS,11082
8,4,Australia,AUS,25810
8,5,Australia,AUS,12333
8,6,Australia,AUS,13540
8,7,Australia,AUS,21907
9,8,Australia,AUS,9214
9,9,Australia,AUS,312494
9,1,Australia,AUS,10861
9,2,Australia,AUS,40504
9,3,Australia,AUS,7424
9,4,Australia,AUS,35259
9,5,Australia,AUS,9881
9,6,Australia,AUS,10156
9,7,Australia,AUS,14185
1,8,Australia,AUS,18167
1,9,Australia,AUS,10861
1,1,Australia,AUS,1141135
1,2,Australia,AUS,169218
1,3,Australia,AUS,44654
1,4,Australia,AUS,33979
1,5,Australia,AUS,20474
1,6,Australia,AUS,15416
1,7,Australia,AUS,20360
2,8,Australia,AUS,21016
2,9,Australia,AUS,40504
2,1,Australia,AUS,169218
2,2,Australia,AUS,165707555
2,3,Australia,AUS,199835
2,4,Australia,AUS,75958
2,5,Australia,AUS,45193
2,6,Australia,AUS,30578
2,7,Australia,AUS,39397
3,8,Australia,AUS,11082
3,9,Australia,AUS,7424
3,1,Australia,AUS,44654
3,2,Australia,AUS,199835
3,3,Australia,AUS,127786
3,4,Australia,AUS,20141
3,5,Australia,AUS,17734
3,6,Australia,AUS,8697
3,7,Australia,AUS,11964
4,8,Australia,AUS,25810
4,9,Australia,AUS,35259
4,1,Australia,AUS,33979
4,2,Australia,AUS,75958
4,3,Australia,AUS,20141
4,4,Australia,AUS,2587463
4,5,Australia,AUS,39876
4,6,Australia,AUS,60228
4,7,Australia,AUS,30570
5,8,Australia,AUS,12333
5,9,Australia,AUS,9881
5,1,Australia,AUS,20474
5,2,Australia,AUS,45193
5,3,Australia,AUS,17734
5,4,Australia,AUS,39876
5,5,Australia,AUS,170991
5,6,Australia,AUS,11544
5,7,Australia,AUS,20827
6,8,Australia,AUS,13540
6,9,Australia,AUS,10156
6,1,Australia,AUS,15416
6,2,Australia,AUS,30578
6,3,Australia,AUS,8697
6,4,Australia,AUS,60228
6,5,Australia,AUS,11544
6,6,Australia,AUS,569078
6,7,Australia,AUS,14130
7,8,Australia,AUS,21907
7,9,Australia,AUS,14185
7,1,Australia,AUS,20360
7,2,Australia,AUS,39397
7,3,Australia,AUS,11964
7,4,Australia,AUS,30570
7,5,Australia,AUS,20827
7,6,Australia,AUS,14130
7,7,Australia,AUS,2218064
