nodeID_from,nodeID_to,country_name,country_ISO3,SCI
1,1,Burkina Faso,BFA,11008525
1,10,Burkina Faso,BFA,464502
1,11,Burkina Faso,BFA,443531
1,12,Burkina Faso,BFA,460210
1,13,Burkina Faso,BFA,582060
1,2,Burkina Faso,BFA,570807
1,3,Burkina Faso,BFA,269123
1,4,Burkina Faso,BFA,339671
1,5,Burkina Faso,BFA,1019897
1,6,Burkina Faso,BFA,397684
1,7,Burkina Faso,BFA,492226
1,8,Burkina Faso,BFA,365940
1,9,Burkina Faso,BFA,851549
10,1,Burkina Faso,BFA,464502
10,10,Burkina Faso,BFA,10476749
10,11,Burkina Faso,BFA,442039
10,12,Burkina Faso,BFA,616850
10,13,Burkina Faso,BFA,482339
10,2,Burkina Faso,BFA,350143
10,3,Burkina Faso,BFA,234058
10,4,Burkina Faso,BFA,426468
10,5,Burkina Faso,BFA,601610
10,6,Burkina Faso,BFA,345013
10,7,Burkina Faso,BFA,465896
10,8,Burkina Faso,BFA,326424
10,9,Burkina Faso,BFA,309628
11,1,Burkina Faso,BFA,443531
11,10,Burkina Faso,BFA,442039
11,11,Burkina Faso,BFA,15738424
11,12,Burkina Faso,BFA,518009
11,13,Burkina Faso,BFA,436005
11,2,Burkina Faso,BFA,352482
11,3,Burkina Faso,BFA,1087212
11,4,Burkina Faso,BFA,631332
11,5,Burkina Faso,BFA,653950
11,6,Burkina Faso,BFA,507729
11,7,Burkina Faso,BFA,667043
11,8,Burkina Faso,BFA,538010
11,9,Burkina Faso,BFA,263418
12,1,Burkina Faso,BFA,460210
12,10,Burkina Faso,BFA,616850
12,11,Burkina Faso,BFA,518009
12,12,Burkina Faso,BFA,26324615
12,13,Burkina Faso,BFA,450178
12,2,Burkina Faso,BFA,449074
12,3,Burkina Faso,BFA,340600
12,4,Burkina Faso,BFA,786707
12,5,Burkina Faso,BFA,501987
12,6,Burkina Faso,BFA,409859
12,7,Burkina Faso,BFA,572881
12,8,Burkina Faso,BFA,611160
12,9,Burkina Faso,BFA,319157
13,1,Burkina Faso,BFA,582060
13,10,Burkina Faso,BFA,482339
13,11,Burkina Faso,BFA,436005
13,12,Burkina Faso,BFA,450178
13,13,Burkina Faso,BFA,15442469
13,2,Burkina Faso,BFA,821534
13,3,Burkina Faso,BFA,285392
13,4,Burkina Faso,BFA,434541
13,5,Burkina Faso,BFA,632397
13,6,Burkina Faso,BFA,409244
13,7,Burkina Faso,BFA,420848
13,8,Burkina Faso,BFA,348483
13,9,Burkina Faso,BFA,788905
2,1,Burkina Faso,BFA,570807
2,10,Burkina Faso,BFA,350143
2,11,Burkina Faso,BFA,352482
2,12,Burkina Faso,BFA,449074
2,13,Burkina Faso,BFA,821534
2,2,Burkina Faso,BFA,15089046
2,3,Burkina Faso,BFA,243107
2,4,Burkina Faso,BFA,282136
