nodeID_from,nodeID_to,country_name,country_ISO3,SCI
1,1,Congo - Brazzaville,COG,36238772
1,10,Congo - Brazzaville,COG,1621620
1,11,Congo - Brazzaville,COG,1692578
1,12,Congo - Brazzaville,COG,1468501
1,2,Congo - Brazzaville,COG,1323958
1,3,Congo - Brazzaville,COG,1665522
1,4,Congo - Brazzaville,COG,1643560
1,5,Congo - Brazzaville,COG,1492812
1,6,Congo - Brazzaville,COG,3737846
1,7,Congo - Brazzaville,COG,1093660
1,8,Congo - Brazzaville,COG,3120060
1,9,Congo - Brazzaville,COG,1101633
10,1,Congo - Brazzaville,COG,1621620
10,10,Congo - Brazzaville,COG,1983696
10,11,Congo - Brazzaville,COG,1263533
10,12,Congo - Brazzaville,COG,769841
10,2,Congo - Brazzaville,COG,860970
10,3,Congo - Brazzaville,COG,1333350
10,4,Congo - Brazzaville,COG,1040044
10,5,Congo - Brazzaville,COG,2726060
10,6,Congo - Brazzaville,COG,1742708
10,7,Congo - Brazzaville,COG,631762
10,8,Congo - Brazzaville,COG,1777937
10,9,Congo - Brazzaville,COG,674238
11,1,Congo - Brazzaville,COG,1692578
11,10,Congo - Brazzaville,COG,1263533
11,11,Congo - Brazzaville,COG,3922640
11,12,Congo - Brazzaville,COG,1895930
11,2,Congo - Brazzaville,COG,2679328
11,3,Congo - Brazzaville,COG,2403321
11,4,Congo - Brazzaville,COG,2753099
11,5,Congo - Brazzaville,COG,1840906
11,6,Congo - Brazzaville,COG,1657303
11,7,Congo - Brazzaville,COG,1708150
11,8,Congo - Brazzaville,COG,1733077
11,9,Congo - Brazzaville,COG,1806585
12,1,Congo - Brazzaville,COG,1468501
12,10,Congo - Brazzaville,COG,769841
12,11,Congo - Brazzaville,COG,1895930
12,12,Congo - Brazzaville,COG,56652562
12,2,Congo - Brazzaville,COG,2101737
12,3,Congo - Brazzaville,COG,3677292
12,4,Congo - Brazzaville,COG,3679338
12,5,Congo - Brazzaville,COG,974140
12,6,Congo - Brazzaville,COG,1687287
12,7,Congo - Brazzaville,COG,4186450
12,8,Congo - Brazzaville,COG,1294667
12,9,Congo - Brazzaville,COG,1846960
2,1,Congo - Brazzaville,COG,1323958
2,10,Congo - Brazzaville,COG,860970
2,11,Congo - Brazzaville,COG,2679328
2,12,Congo - Brazzaville,COG,2101737
