nodeID_from,nodeID_to,country_name,country_ISO3,SCI
1,1,Congo - Kinshasa,COD,24425744
1,2,Congo - Kinshasa,COD,160952
1,3,Congo - Kinshasa,COD,122134
1,4,Congo - Kinshasa,COD,85560
1,5,Congo - Kinshasa,COD,64671
1,6,Congo - Kinshasa,COD,95640
1,7,Congo - Kinshasa,COD,558785
1,8,Congo - Kinshasa,COD,120879
1,9,Congo - Kinshasa,COD,405493
2,1,Congo - Kinshasa,COD,160952
2,2,Congo - Kinshasa,COD,17774356
2,3,Congo - Kinshasa,COD,147414
2,4,Congo - Kinshasa,COD,166668
2,5,Congo - Kinshasa,COD,58173
2,6,Congo - Kinshasa,COD,102301
2,7,Congo - Kinshasa,COD,525899
2,8,Congo - Kinshasa,COD,58913
2,9,Congo - Kinshasa,COD,108214
3,1,Congo - Kinshasa,COD,122134
3,2,Congo - Kinshasa,COD,147414
3,3,Congo - Kinshasa,COD,6089278
3,4,Congo - Kinshasa,COD,79791
3,5,Congo - Kinshasa,COD,55181
3,6,Congo - Kinshasa,COD,86839
3,7,Congo - Kinshasa,COD,432821
3,8,Congo - Kinshasa,COD,49480
3,9,Congo - Kinshasa,COD,118257
4,1,Congo - Kinshasa,COD,85560
4,2,Congo - Kinshasa,COD,166668
4,3,Congo - Kinshasa,COD,79791
4,4,Congo - Kinshasa,COD,4187530
4,5,Congo - Kinshasa,COD,227701
4,6,Congo - Kinshasa,COD,179982
4,7,Congo - Kinshasa,COD,190573
4,8,Congo - Kinshasa,COD,82873
4,9,Congo - Kinshasa,COD,94514
5,1,Congo - Kinshasa,COD,64671
5,2,Congo - Kinshasa,COD,58173
5,3,Congo - Kinshasa,COD,55181
5,4,Congo - Kinshasa,COD,227701
5,5,Congo - Kinshasa,COD,4322466
5,6,Congo - Kinshasa,COD,345743
5,7,Congo - Kinshasa,COD,126223
5,8,Congo - Kinshasa,COD,47636
5,9,Congo - Kinshasa,COD,71207
6,1,Congo - Kinshasa,COD,95640
6,2,Congo - Kinshasa,COD,102301
6,3,Congo - Kinshasa,COD,86839
6,4,Congo - Kinshasa,COD,179982
6,5,Congo - Kinshasa,COD,345743
6,6,Congo - Kinshasa,COD,966041
6,7,Congo - Kinshasa,COD,100207
6,8,Congo - Kinshasa,COD,111745
6,9,Congo - Kinshasa,COD,130847
7,1,Congo - Kinshasa,COD,558785
7,2,Congo - Kinshasa,COD,525899
7,3,Congo - Kinshasa,COD,432821
7,4,Congo - Kinshasa,COD,190573
7,5,Congo - Kinshasa,COD,126223
7,6,Congo - Kinshasa,COD,100207
7,7,Congo - Kinshasa,COD,399527
7,8,Congo - Kinshasa,COD,64230
7,9,Congo - Kinshasa,COD,122950
8,1,Congo - Kinshasa,COD,120879
8,2,Congo - Kinshasa,COD,58913
8,3,Congo - Kinshasa,COD,49480
8,4,Congo - Kinshasa,COD,82873
8,5,Congo - Kinshasa,COD,47636
8,6,Congo - Kinshasa,COD,111745
8,7,Congo - Kinshasa,COD,64230
8,8,Congo - Kinshasa,COD,1365871
8,9,Congo - Kinshasa,COD,279058
9,1,Congo - Kinshasa,COD,405493
9,2,Congo - Kinshasa,COD,108214
9,3,Congo - Kinshasa,COD,118257
9,4,Congo - Kinshasa,COD,94514
9,5,Congo - Kinshasa,COD,71207
9,6,Congo - Kinshasa,COD,130847
9,7,Congo - Kinshasa,COD,122950
9,8,Congo - Kinshasa,COD,279058
9,9,Congo - Kinshasa,COD,4055570
