nodeID_from,nodeID_to,country_name,country_ISO3,SCI
1,1,Gambia,GMB,1341679
1,2,Gambia,GMB,1778222
1,3,Gambia,GMB,928447
1,4,Gambia,GMB,1005220
1,5,Gambia,GMB,880106
1,6,Gambia,GMB,1007245
2,1,Gambia,GMB,1778222
2,2,Gambia,GMB,22961351
2,3,Gambia,GMB,2418377
2,4,Gambia,GMB,8083651
2,5,Gambia,GMB,885279
2,6,Gambia,GMB,1411055
3,1,Gambia,GMB,928447
3,2,Gambia,GMB,2418377
3,3,Gambia,GMB,17083426
3,4,Gambia,GMB,1021122
3,5,Gambia,GMB,1069976
3,6,Gambia,GMB,671792
4,1,Gambia,GMB,1005220
4,2,Gambia,GMB,8083651
4,3,Gambia,GMB,1021122
4,4,Gambia,GMB,8676394
4,5,Gambia,GMB,455190
4,6,Gambia,GMB,679409
5,1,Gambia,GMB,880106
5,2,Gambia,GMB,885279
5,3,Gambia,GMB,1069976
5,4,Gambia,GMB,455190
5,5,Gambia,GMB,18557552
5,6,Gambia,GMB,522326
6,1,Gambia,GMB,1007245
6,2,Gambia,GMB,1411055
6,3,Gambia,GMB,671792
6,4,Gambia,GMB,679409
6,5,Gambia,GMB,522326
6,6,Gambia,GMB,1085101
