nodeID_from,nodeID_to,country_name,country_ISO3,SCI
1,1,Kyrgyzstan,KGZ,5176493
1,2,Kyrgyzstan,KGZ,180026
1,3,Kyrgyzstan,KGZ,104825
1,4,Kyrgyzstan,KGZ,132870
1,5,Kyrgyzstan,KGZ,78265
1,6,Kyrgyzstan,KGZ,314337
1,7,Kyrgyzstan,KGZ,272455
1,8,Kyrgyzstan,KGZ,75178
1,9,Kyrgyzstan,KGZ,65814
2,1,Kyrgyzstan,KGZ,180026
2,2,Kyrgyzstan,KGZ,230565
2,3,Kyrgyzstan,KGZ,226596
2,4,Kyrgyzstan,KGZ,200922
2,5,Kyrgyzstan,KGZ,450485
2,6,Kyrgyzstan,KGZ,172876
2,7,Kyrgyzstan,KGZ,165614
2,8,Kyrgyzstan,KGZ,243962
2,9,Kyrgyzstan,KGZ,276096
3,1,Kyrgyzstan,KGZ,104825
3,2,Kyrgyzstan,KGZ,226596
3,3,Kyrgyzstan,KGZ,640837
3,4,Kyrgyzstan,KGZ,127402
3,5,Kyrgyzstan,KGZ,345622
3,6,Kyrgyzstan,KGZ,121208
3,7,Kyrgyzstan,KGZ,112958
3,8,Kyrgyzstan,KGZ,174526
3,9,Kyrgyzstan,KGZ,188984
4,1,Kyrgyzstan,KGZ,132870
4,2,Kyrgyzstan,KGZ,200922
4,3,Kyrgyzstan,KGZ,127402
4,4,Kyrgyzstan,KGZ,2180622
4,5,Kyrgyzstan,KGZ,111861
4,6,Kyrgyzstan,KGZ,229345
4,7,Kyrgyzstan,KGZ,193728
4,8,Kyrgyzstan,KGZ,114507
4,9,Kyrgyzstan,KGZ,87332
5,1,Kyrgyzstan,KGZ,78265
5,2,Kyrgyzstan,KGZ,450485
5,3,Kyrgyzstan,KGZ,345622
5,4,Kyrgyzstan,KGZ,111861
5,5,Kyrgyzstan,KGZ,10293468
5,6,Kyrgyzstan,KGZ,98669
5,7,Kyrgyzstan,KGZ,114681
5,8,Kyrgyzstan,KGZ,141303
5,9,Kyrgyzstan,KGZ,293567
6,1,Kyrgyzstan,KGZ,314337
6,2,Kyrgyzstan,KGZ,172876
6,3,Kyrgyzstan,KGZ,121208
6,4,Kyrgyzstan,KGZ,229345
6,5,Kyrgyzstan,KGZ,98669
6,6,Kyrgyzstan,KGZ,1594715
6,7,Kyrgyzstan,KGZ,1138318
6,8,Kyrgyzstan,KGZ,97850
6,9,Kyrgyzstan,KGZ,82867
7,1,Kyrgyzstan,KGZ,272455
7,2,Kyrgyzstan,KGZ,165614
7,3,Kyrgyzstan,KGZ,112958
7,4,Kyrgyzstan,KGZ,193728
7,5,Kyrgyzstan,KGZ,114681
7,6,Kyrgyzstan,KGZ,1138318
7,7,Kyrgyzstan,KGZ,1899797
7,8,Kyrgyzstan,KGZ,94681
7,9,Kyrgyzstan,KGZ,78812
8,1,Kyrgyzstan,KGZ,75178
8,2,Kyrgyzstan,KGZ,243962
8,3,Kyrgyzstan,KGZ,174526
8,4,Kyrgyzstan,KGZ,114507
8,5,Kyrgyzstan,KGZ,141303
8,6,Kyrgyzstan,KGZ,97850
8,7,Kyrgyzstan,KGZ,94681
8,8,Kyrgyzstan,KGZ,7931714
8,9,Kyrgyzstan,KGZ,114437
9,1,Kyrgyzstan,KGZ,65814
9,2,Kyrgyzstan,KGZ,276096
9,3,Kyrgyzstan,KGZ,188984
9,4,Kyrgyzstan,KGZ,87332
9,5,Kyrgyzstan,KGZ,293567
9,6,Kyrgyzstan,KGZ,82867
9,7,Kyrgyzstan,KGZ,78812
9,8,Kyrgyzstan,KGZ,114437
9,9,Kyrgyzstan,KGZ,3376309
